player_team,0,1,2,3,4,5,6
Prairie View A&M Panthers - Lance Williams,10.0,8.0,done,done,done,done,done
Prairie View A&M Panthers - Tai'Reon Joseph,5.0,16.0,done,done,done,done,done
Purdue Boilermakers - Braden Smith,,26.0,,,,,
Purdue Boilermakers - C.J. Cox,,11.0,,,,,
Purdue Boilermakers - Daniel Jacobsen,,4.0,,,,,
Purdue Boilermakers - Fletcher Loyer,,14.0,,,,,
Purdue Boilermakers - Gicarri Harris,,0.0,,,,,
Purdue Boilermakers - Jack Benter,,3.0,,,,,
Purdue Boilermakers - Liam Murphy,,3.0,,,,,
Purdue Boilermakers - Omer Mayer,,9.0,,,,,
Purdue Boilermakers - Oscar Cluff,,9.0,,,,,
Purdue Boilermakers - Trey Kaufman-Renn,,25.0,,,,,
Queens University Royals - Avantae Parker,,6.0,done,done,done,done,done
Queens University Royals - Carson Schwieger,,8.0,done,done,done,done,done
Queens University Royals - Chris Ashby,,8.0,done,done,done,done,done
Queens University Royals - Gus Larson,,6.0,done,done,done,done,done
Queens University Royals - Isaiah Henry,,5.0,done,done,done,done,done
Queens University Royals - Jordan Watford,,10.0,done,done,done,done,done
Queens University Royals - Kam Clark,,4.0,done,done,done,done,done
Queens University Royals - Maban Jabriel,,9.0,done,done,done,done,done
Queens University Royals - Nasir Mann,,10.0,done,done,done,done,done
Queens University Royals - Reid Celestin,,0.0,done,done,done,done,done
Queens University Royals - Yoav Berman,,5.0,done,done,done,done,done
SMU Mustangs - B.J. Davis-Ray,0.0,done,done,done,done,done,done
SMU Mustangs - Boopie Miller,15.0,done,done,done,done,done,done
SMU Mustangs - Chance Puryear,0.0,done,done,done,done,done,done
SMU Mustangs - Corey Washington,13.0,done,done,done,done,done,done
SMU Mustangs - Jaden Toombs,20.0,done,done,done,done,done,done
SMU Mustangs - Jaron Pierre Jr.,18.0,done,done,done,done,done,done
SMU Mustangs - Jermaine O'Neal Jr.,0.0,done,done,done,done,done,done
SMU Mustangs - Mitchell Holmes,0.0,done,done,done,done,done,done
SMU Mustangs - Sam Walters,5.0,done,done,done,done,done,done
SMU Mustangs - Samet Yigitoglu,8.0,done,done,done,done,done,done
Saint Louis Billikens - Amari McCottry,,13.0,14.0,done,done,done,done
Saint Louis Billikens - Brady Dunlap,,11.0,9.0,done,done,done,done
Saint Louis Billikens - Cam Hutson,,0.0,,done,done,done,done
Saint Louis Billikens - Dion Brown,,18.0,13.0,done,done,done,done
Saint Louis Billikens - Isaac Holmes,,0.0,,done,done,done,done
Saint Louis Billikens - Ishan Sharma,,12.0,8.0,done,done,done,done
Saint Louis Billikens - Jaden Schertz,,0.0,,done,done,done,done
Saint Louis Billikens - Jax Kerr,,0.0,,done,done,done,done
Saint Louis Billikens - Kellen Thames,,11.0,4.0,done,done,done,done
Saint Louis Billikens - Paul Otieno,,9.0,5.0,done,done,done,done
Saint Louis Billikens - Quentin Jones,,9.0,7.0,done,done,done,done
Saint Louis Billikens - Robbie Avila,,12.0,9.0,done,done,done,done
Saint Louis Billikens - Trey Green,,7.0,3.0,done,done,done,done
Saint Mary's Gaels - Andrew McKeever,,0.0,done,done,done,done,done
Saint Mary's Gaels - Dillan Shaw,,8.0,done,done,done,done,done
Saint Mary's Gaels - Harry Wessels,,0.0,done,done,done,done,done
Saint Mary's Gaels - Joshua Dent,,18.0,done,done,done,done,done
Saint Mary's Gaels - Liam Campbell,,15.0,done,done,done,done,done
Saint Mary's Gaels - Mantas Juzenas,,0.0,done,done,done,done,done
Saint Mary's Gaels - Mikey Lewis,,5.0,done,done,done,done,done
Saint Mary's Gaels - Oliver Faubert,,0.0,done,done,done,done,done
Saint Mary's Gaels - Paulius Murauskas,,4.0,done,done,done,done,done
Saint Mary's Gaels - Rory Hawke,,0.0,done,done,done,done,done
Saint Mary's Gaels - Tony Duckett,,0.0,done,done,done,done,done
Santa Clara Broncos - Allen Graves,,17.0,done,done,done,done,done
Santa Clara Broncos - Brenton Knapper,,2.0,done,done,done,done,done
Santa Clara Broncos - Bukky Oboye,,6.0,done,done,done,done,done
Santa Clara Broncos - Christian Hammond,,9.0,done,done,done,done,done
Santa Clara Broncos - Elijah Mahi,,20.0,done,done,done,done,done
Santa Clara Broncos - Jake Ensminger,,14.0,done,done,done,done,done
Santa Clara Broncos - KJ Cochran,,0.0,done,done,done,done,done
Santa Clara Broncos - Sash Gavalyugov,,16.0,done,done,done,done,done
Santa Clara Broncos - Thierry Darlan,,0.0,done,done,done,done,done
Siena Saints - Brendan Coyle,,12.0,done,done,done,done,done
Siena Saints - Francis Folefac,,18.0,done,done,done,done,done
Siena Saints - Gavin Doty,,21.0,done,done,done,done,done
Siena Saints - Justice Shoats,,8.0,done,done,done,done,done
Siena Saints - Riley Mulvey,,6.0,done,done,done,done,done
South Florida Bulls - CJ Brown,,4.0,done,done,done,done,done
South Florida Bulls - Daimion Collins,,0.0,done,done,done,done,done
South Florida Bulls - Gavin Hightower,,12.0,done,done,done,done,done
South Florida Bulls - Isaiah Jones,,4.0,done,done,done,done,done
South Florida Bulls - Izaiyah Nelson,,22.0,done,done,done,done,done
South Florida Bulls - Joseph Pinion,,27.0,done,done,done,done,done
South Florida Bulls - Josh Omojafo,,6.0,done,done,done,done,done
South Florida Bulls - Wes Enis,,4.0,done,done,done,done,done
St. John's Red Storm - Bryce Hopkins,,13.0,,,,,
St. John's Red Storm - Dillon Mitchell,,7.0,,,,,
St. John's Red Storm - Dylan Darling,,6.0,,,,,
St. John's Red Storm - Ian Jackson,,9.0,,,,,
St. John's Red Storm - Joson Sanon,,6.0,,,,,
St. John's Red Storm - Lefteris Liotopoulos,,5.0,,,,,
St. John's Red Storm - Oziyah Sellers,,11.0,,,,,
St. John's Red Storm - Ruben Prey,,8.0,,,,,
St. John's Red Storm - Zuby Ejiofor,,14.0,,,,,
TCU Horned Frogs - Ashton Simmons,,,0.0,done,done,done,done
TCU Horned Frogs - Brock Harding,,8.0,8.0,done,done,done,done
TCU Horned Frogs - David Punch,,16.0,4.0,done,done,done,done
TCU Horned Frogs - Jace Posey,,,4.0,done,done,done,done
TCU Horned Frogs - Jayden Pierre,,4.0,4.0,done,done,done,done
TCU Horned Frogs - Kayden Edwards,,,0.0,done,done,done,done
TCU Horned Frogs - Liutauras Lelevicius,,4.0,1.0,done,done,done,done
TCU Horned Frogs - Micah Robinson,,18.0,18.0,done,done,done,done
TCU Horned Frogs - RJ Jones,,,0.0,done,done,done,done
TCU Horned Frogs - Tanner Toolson,,0.0,5.0,done,done,done,done
TCU Horned Frogs - Vianney Salatchoum,,0.0,2.0,done,done,done,done
TCU Horned Frogs - Xavier Edmonds,,16.0,12.0,done,done,done,done
Tennessee State Tigers - Aaron Nkrumah,,21.0,done,done,done,done,done
Tennessee State Tigers - Alex Garcia,,0.0,done,done,done,done,done
Tennessee State Tigers - Antoine Lorick III,,20.0,done,done,done,done,done
Tennessee State Tigers - Carlous Williams,,0.0,done,done,done,done,done
Tennessee State Tigers - Damon Howard Jr.,,3.0,done,done,done,done,done
Tennessee State Tigers - Dante Harris,,11.0,done,done,done,done,done
Tennessee State Tigers - JC Brooks,,1.0,done,done,done,done,done
Tennessee State Tigers - Jabrion Spikes,,2.0,done,done,done,done,done
Tennessee State Tigers - Jalen Pitre,,3.0,done,done,done,done,done
Tennessee State Tigers - Kavien Jones,,0.0,done,done,done,done,done
Tennessee State Tigers - Travis Harper II,,13.0,done,done,done,done,done
Tennessee Volunteers - Amari Evans,,6.0,,,,,
Tennessee Volunteers - Bishop Boswell,,5.0,,,,,
Tennessee Volunteers - Clarence Massamba,,0.0,,,,,
Tennessee Volunteers - DeWayne Brown II,,5.0,,,,,
Tennessee Volunteers - Ethan Burg,,7.0,,,,,
Tennessee Volunteers - Felix Okpara,,12.0,,,,,
Tennessee Volunteers - J.P. Estrella,,14.0,,,,,
Tennessee Volunteers - Ja'Kobi Gillespie,,29.0,,,,,
Tennessee Volunteers - Jaylen Carey,,0.0,,,,,
Tennessee Volunteers - Nate Ament,,0.0,,,,,
Texas A&M Aggies - Ali Dibba,,9.0,6.0,done,done,done,done
Texas A&M Aggies - Chris McDermott,,,2.0,done,done,done,done
Texas A&M Aggies - Jacari Lane,,2.0,1.0,done,done,done,done
Texas A&M Aggies - Jamie Vinson,,5.0,4.0,done,done,done,done
Texas A&M Aggies - Josh Holloway,,0.0,12.0,done,done,done,done
Texas A&M Aggies - Marcus Hill,,4.0,0.0,done,done,done,done
Texas A&M Aggies - Pop Isaacs,,3.0,8.0,done,done,done,done
Texas A&M Aggies - Rashaun Agee,,22.0,7.0,done,done,done,done
Texas A&M Aggies - Rubén Dominguez,,11.0,5.0,done,done,done,done
Texas A&M Aggies - Rylan Griffen,,4.0,6.0,done,done,done,done
Texas A&M Aggies - Zach Clemence,,3.0,6.0,done,done,done,done
Texas Longhorns - Camden Heide,3.0,5.0,3.0,,,,
Texas Longhorns - Chendall Weaver,11.0,5.0,8.0,,,,
Texas Longhorns - Dailyn Swain,13.0,14.0,11.0,,,,
Texas Longhorns - Jordan Pope,5.0,11.0,17.0,,,,
Texas Longhorns - Matas Vokietaitis,15.0,23.0,17.0,,,,
Texas Longhorns - Nic Codie,2.0,0.0,12.0,,,,
Texas Longhorns - Simeon Wilcher,2.0,2.0,0.0,,,,
Texas Longhorns - Tramon Mark,17.0,19.0,6.0,,,,
Texas Tech Red Raiders - Christian Anderson,,18.0,,,,,
Texas Tech Red Raiders - Donovan Atwell,,15.0,,,,,
Texas Tech Red Raiders - Jaylen Petty,,24.0,,,,,
Texas Tech Red Raiders - Josiah Moseley,,16.0,,,,,
Texas Tech Red Raiders - LeJuan Watts,,14.0,,,,,
Texas Tech Red Raiders - Leon Horner,,2.0,,,,,
Texas Tech Red Raiders - Luke Bamgboye,,2.0,,,,,
Texas Tech Red Raiders - Nolan Groves,,0.0,,,,,
Texas Tech Red Raiders - Tyeree Bryan,,0.0,,,,,
Troy Trojans - Austin Cross,,2.0,done,done,done,done,done
Troy Trojans - Cobi Campbell,,9.0,done,done,done,done,done
Troy Trojans - Cooper Campbell,,6.0,done,done,done,done,done
Troy Trojans - Corbin Green,,0.0,done,done,done,done,done
Troy Trojans - Emmanuel Clarton,,0.0,done,done,done,done,done
Troy Trojans - Evan Griffin,,0.0,done,done,done,done,done
Troy Trojans - Javen Colbert,,0.0,done,done,done,done,done
Troy Trojans - Jerrell Bellamy,,0.0,done,done,done,done,done
Troy Trojans - Kerrington Kiel,,3.0,done,done,done,done,done
Troy Trojans - Theo Seng,,9.0,done,done,done,done,done
Troy Trojans - Thomas Dowd,,4.0,done,done,done,done,done
Troy Trojans - Victor Valdes,,14.0,done,done,done,done,done
UCF Knights - Carmelo Pacheco,,3.0,done,done,done,done,done
UCF Knights - Chris Johnson,,0.0,done,done,done,done,done
UCF Knights - Devan Cambridge,,6.0,done,done,done,done,done
UCF Knights - Elijah Hulsewe,,0.0,done,done,done,done,done
UCF Knights - George Beale Jr.,,5.0,done,done,done,done,done
UCF Knights - Jamichael Stillwell,,10.0,done,done,done,done,done
UCF Knights - John Bol,,2.0,done,done,done,done,done
UCF Knights - Jordan Burks,,22.0,done,done,done,done,done
UCF Knights - Riley Kugel,,13.0,done,done,done,done,done
UCF Knights - Themus Fulks,,10.0,done,done,done,done,done
UCLA Bruins - Brandon Williams,,0.0,,,,,
UCLA Bruins - Donovan Dent,,10.0,,,,,
UCLA Bruins - Eric Dailey Jr.,,20.0,,,,,
UCLA Bruins - Eric Freeny,,0.0,,,,,
UCLA Bruins - Jamar Brown,,3.0,,,,,
UCLA Bruins - Skyy Clark,,8.0,,,,,
UCLA Bruins - Steven Jamerson II,,2.0,,,,,
UCLA Bruins - Trent Perry,,15.0,,,,,
UCLA Bruins - Xavier Booker,,15.0,,,,,
UConn Huskies - Alec Millender,,2.0,,,,,
UConn Huskies - Alex Karaban,,22.0,,,,,
UConn Huskies - Braylon Mullins,,12.0,,,,,
UConn Huskies - Eric Reibe,,0.0,,,,,
UConn Huskies - Jayden Ross,,2.0,,,,,
UConn Huskies - Malachi Smith,,4.0,,,,,
UConn Huskies - Solo Ball,,9.0,,,,,
UConn Huskies - Tarris Reed Jr.,,31.0,,,,,
UMBC Retrievers - Ace Valentine,11.0,done,done,done,done,done,done
UMBC Retrievers - Caden Diggs,15.0,done,done,done,done,done,done
UMBC Retrievers - Cougar Downing,9.0,done,done,done,done,done,done
UMBC Retrievers - DJ Armstrong Jr.,17.0,done,done,done,done,done,done
UMBC Retrievers - Jah'Likai King,19.0,done,done,done,done,done,done
UMBC Retrievers - Jose Roberto Tanchyn,7.0,done,done,done,done,done,done
UMBC Retrievers - Josh Odunowo,2.0,done,done,done,done,done,done
UMBC Retrievers - Paul Greene,0.0,done,done,done,done,done,done
UMBC Retrievers - Riley Jacobs,3.0,done,done,done,done,done,done
Utah State Aggies - Adlan Elamin,,13.0,,,,,
Utah State Aggies - Drake Allen,,11.0,,,,,
Utah State Aggies - Elijah Perryman,,0.0,,,,,
Utah State Aggies - Garry Clark,,7.0,,,,,
Utah State Aggies - Karson Templin,,4.0,,,,,
Utah State Aggies - Kolby King,,5.0,,,,,
Utah State Aggies - MJ Collins Jr.,,20.0,,,,,
Utah State Aggies - Mason Falslev,,22.0,,,,,
Utah State Aggies - Zach Keller,,4.0,,,,,
VCU Rams - Ahmad Nowell,,,0.0,done,done,done,done
VCU Rams - Barry Evans,,2.0,11.0,done,done,done,done
VCU Rams - Brandon Jennings,,7.0,5.0,done,done,done,done
VCU Rams - Jadrian Tracey,,0.0,7.0,done,done,done,done
VCU Rams - Jordan Tillery,,,2.0,done,done,done,done
VCU Rams - Jordann Dumont,,,0.0,done,done,done,done
VCU Rams - Keyshawn Mitchell,,,0.0,done,done,done,done
VCU Rams - Lazar Djokovic,,15.0,2.0,done,done,done,done
VCU Rams - Michael Belle,,8.0,0.0,done,done,done,done
VCU Rams - Nyk Lewis,,16.0,0.0,done,done,done,done
VCU Rams - Terrence Hill Jr.,,34.0,17.0,done,done,done,done
VCU Rams - Tyrell Ward,,0.0,11.0,done,done,done,done
Vanderbilt Commodores - AK Okereke,,7.0,9.0,done,done,done,done
Vanderbilt Commodores - Chandler Bing,,4.0,2.0,done,done,done,done
Vanderbilt Commodores - Devin McGlockton,,12.0,3.0,done,done,done,done
Vanderbilt Commodores - Duke Miles,,13.0,9.0,done,done,done,done
Vanderbilt Commodores - Jalen Washington,,4.0,6.0,done,done,done,done
Vanderbilt Commodores - Tyler Nickel,,12.0,16.0,done,done,done,done
Vanderbilt Commodores - Tyler Tanner,,26.0,27.0,done,done,done,done
Villanova Wildcats - Acaden Lewis,,7.0,done,done,done,done,done
Villanova Wildcats - Braden Pierce,,0.0,done,done,done,done,done
Villanova Wildcats - Bryce Lindsay,,25.0,done,done,done,done,done
Villanova Wildcats - Chris Jeffrey,,0.0,done,done,done,done,done
Villanova Wildcats - Devin Askew,,3.0,done,done,done,done,done
Villanova Wildcats - Duke Brennan,,15.0,done,done,done,done,done
Villanova Wildcats - Malachi Palmer,,11.0,done,done,done,done,done
Villanova Wildcats - Tyler Perkins,,15.0,done,done,done,done,done
Virginia Cavaliers - Chance Mallory,,2.0,,,,,
Virginia Cavaliers - Dallin Hall,,8.0,,,,,
Virginia Cavaliers - Devin Tillis,,3.0,,,,,
Virginia Cavaliers - Jacari White,,26.0,,,,,
Virginia Cavaliers - Johann Grunloh,,8.0,,,,,
Virginia Cavaliers - Malik Thomas,,11.0,,,,,
Virginia Cavaliers - Sam Lewis,,12.0,,,,,
Virginia Cavaliers - Thijs De Ridder,,10.0,,,,,
Virginia Cavaliers - Ugonna Onyenso,,2.0,,,,,
Wisconsin Badgers - Aleksas Bieliauskas,,2.0,done,done,done,done,done
Wisconsin Badgers - Andrew Rohde,,6.0,done,done,done,done,done
Wisconsin Badgers - Austin Rapp,,12.0,done,done,done,done,done
Wisconsin Badgers - Braeden Carrington,,5.0,done,done,done,done,done
Wisconsin Badgers - John Blackwell,,22.0,done,done,done,done,done
Wisconsin Badgers - Nick Boyd,,27.0,done,done,done,done,done
Wisconsin Badgers - Nolan Winter,,8.0,done,done,done,done,done
Wright State Raiders - Andrea Holden,,1.0,done,done,done,done,done
Wright State Raiders - Dominic Pangonis,,5.0,done,done,done,done,done
Wright State Raiders - Kellen Pickett,,2.0,done,done,done,done,done
Wright State Raiders - Logan Woods,,0.0,done,done,done,done,done
Wright State Raiders - Michael Cooper,,13.0,done,done,done,done,done
Wright State Raiders - Michael Imariagbe,,19.0,done,done,done,done,done
Wright State Raiders - Sam Alamutu,,0.0,done,done,done,done,done
Wright State Raiders - Solomon Callaghan,,18.0,done,done,done,done,done
Wright State Raiders - TJ Burch,,15.0,done,done,done,done,done
